USGS Gage Station Number,Station,2yr flood cfs,5yr flood cfs,10yr flood cfs,,clac2-yr,calc5-yr,calc10-yr
1010000,1,22200,30800,36700,,61.87298354,75.73476205,83.24492271
1010500,2,44100,60200,71400,,125.4065082,159.7503175,180.0626981
1011000,3,19300,26600,31700,,37.26794797,50.12905928,59.14688379
1013500,4,10700,14500,17100,,19.67275991,24.91017702,28.78477517
1014000,5,76200,101000,118000,,205.9761465,259.4856002,291.3781672
1022500,6,3520,4970,5980,,9.049437659,12.02965678,13.88011796
1030500,7,13000,17100,19900,,41.58898312,50.94339392,55.51198855
1031500,8,6090,8770,10700,,18.42668272,26.00182384,32.20202417
1038000,9,2060,2910,3500,,4.662020125,6.844262099,8.672083435
1047000,10,7950,11500,14100,,22.96492526,31.6468665,38.16775039
1052500,11,3400,4910,6100,,10.88587395,14.12756572,16.23498142
1055000,12,3510,5390,6780,,8.9617392,12.57757063,15.07785728
1057000,13,2220,3370,4220,,4.310417616,6.440596027,8.234589555
1064500,14,15800,24100,30600,,30.60995168,42.73213223,50.95985198
1073000,15,257,420,555,,0.580084201,1.012760286,1.435034488
1076500,16,19200,27800,34400,,38.55343785,52.88122909,62.15026145
1078000,17,1850,2760,3480,,3.562767567,5.005386916,6.120618281
1121000,18,760,1580,2100,,1.661870422,2.525834865,3.217593804
1134500,19,1910,2900,3640,,4.536059321,6.080464019,7.13331809
1137500,20,3950,6190,7980,,6.493229036,8.408938334,9.483100278
1142500,21,933,1430,1810,,1.244234264,1.753156837,2.118960288
1144000,22,17600,25800,31900,,30.54238241,41.08180748,48.77621364
1169000,23,2650,4390,5820,,6.071523409,9.403003438,12.55738668
1181000,24,2620,4340,5750,,6.29537798,10.73490386,15.16713739
1188000,25,276,629,822,,0.33741728,0.557328424,0.751381346
1193500,26,2220,4560,6030,,4.717273715,7.751682742,10.81014475
1196500,27,2410,5340,7240,,5.194646789,7.721363096,9.658883672
1204000,28,1790,3590,4730,,3.713211988,6.269225717,8.675295856
